antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'browDownLeft'}),frozenset({'Angry'}),0.049060064190738197,0.1829436038514443,0.014213663457129757,0.2897196261682243,1.5836554001826997,0.005238438508892921,1.1503293998407296,0.3875633807198183
frozenset({'browDownRight'}),frozenset({'Angry'}),0.04585052728106373,0.1829436038514443,0.014213663457129757,0.31,1.6945112781954887,0.005825602757842996,1.1841397045631243,0.4295546495946429
frozenset({'eyeLookDownLeft'}),frozenset({'Angry'}),0.10866574965612105,0.1829436038514443,0.02063273727647868,0.18987341772151897,1.0378795088988293,0.0007530334191690503,1.0085539889958735,0.04094650205761307
frozenset({'eyeLookDownRight'}),frozenset({'Angry'}),0.12150389729481889,0.1829436038514443,0.022925263640531865,0.18867924528301885,1.0313519648177045,0.0006969027874219463,1.0070695115319408,0.034603340292275624
frozenset({'eyeLookInRight'}),frozenset({'Angry'}),0.22420907840440166,0.1829436038514443,0.04126547455295736,0.18404907975460122,1.0060427141473316,0.00024785773344508655,1.0013548313700344,0.007742316784869867
frozenset({'eyeLookOutLeft'}),frozenset({'Angry'}),0.23016964695093994,0.1829436038514443,0.04264099037138927,0.1852589641434263,1.0126561423479017,0.00053292566096972,1.0028418358595965,0.016234701915502612
frozenset({'eyeLookUpLeft'}),frozenset({'Angry'}),0.14442916093535077,0.1829436038514443,0.03530490600641907,0.2444444444444444,1.336173767752715,0.008882514803665767,1.0813981713730885,0.29406606255480844
frozenset({'eyeLookUpRight'}),frozenset({'Angry'}),0.13204951856946354,0.1829436038514443,0.03255387436955525,0.24652777777777782,1.3475616123642442,0.008396259555609378,1.0843882123999264,0.29715854556817944
frozenset({'eyeSquintLeft'}),frozenset({'Angry'}),0.5694635488308115,0.1829436038514443,0.10683172856487849,0.18760064412238325,1.025456152458441,0.0026520146797369137,1.0057324519489654,0.057658818851211636
frozenset({'jawOpen'}),frozenset({'Angry'}),0.04264099037138927,0.1829436038514443,0.015589179275561669,0.3655913978494624,1.9983830544102192,0.00778828282522498,1.2879024549460285,0.5218475321162948
frozenset({'mouthLowerDownLeft'}),frozenset({'Angry'}),0.06464924346629987,0.1829436038514443,0.023383768913342505,0.36170212765957444,1.9771236602143656,0.01155660332734817,1.2800550206327372,0.5283737024221453
frozenset({'mouthLowerDownRight'}),frozenset({'Angry'}),0.07381934892251261,0.1829436038514443,0.0270518110958276,0.3664596273291925,2.0031289403633306,0.013547033369975913,1.2896674488227202,0.5406947474408457
frozenset({'browInnerUp'}),frozenset({'Fear'}),0.2718936267767079,0.07473635946813388,0.03484640073360844,0.1281618887015177,1.7148532469816573,0.014526060905729762,1.061279185368272,0.5725258517831102
frozenset({'browOuterUpLeft'}),frozenset({'Fear'}),0.33837689133425036,0.07473635946813388,0.03622191655204035,0.1070460704607046,1.432315826225747,0.01093285956557414,1.0361829540402385,0.45619621568988666
frozenset({'browOuterUpRight'}),frozenset({'Fear'}),0.2209995414947272,0.07473635946813388,0.02200825309491059,0.0995850622406639,1.3324847898582084,0.0054915519194678915,1.0275969463971417,0.3203109672356289
frozenset({'eyeLookDownLeft'}),frozenset({'Fear'}),0.10866574965612105,0.07473635946813388,0.01192113709307657,0.10970464135021096,1.4678884833423933,0.0037998545649024617,1.0392771696969303,0.3576092117758784
frozenset({'eyeLookDownRight'}),frozenset({'Fear'}),0.12150389729481889,0.07473635946813388,0.013755158184319119,0.11320754716981131,1.514758652621831,0.004674399239314314,1.0433824031529555,0.3868302018093249
frozenset({'eyeLookInRight'}),frozenset({'Fear'}),0.22420907840440166,0.07473635946813388,0.01925722145804677,0.08588957055214724,1.1492340697805714,0.0025006511783963944,1.0122011638033166,0.16738432961837232
frozenset({'eyeLookOutLeft'}),frozenset({'Fear'}),0.23016964695093994,0.07473635946813388,0.017881705639614855,0.07768924302788845,1.0395106689805196,0.0006796641664359414,1.0032016145723475,0.049373100594065376
frozenset({'jawOpen'}),frozenset({'Fear'}),0.04264099037138927,0.07473635946813388,0.010087116001834021,0.23655913978494625,3.165248367306551,0.006900283617360637,1.2119650502741346,0.7145376175548589
frozenset({'mouthPucker'}),frozenset({'Fear'}),0.16552040348464006,0.07473635946813388,0.020174232003668042,0.12188365650969529,1.6308481892493585,0.0078038396295294216,1.0536914013627876,0.463548951048951
frozenset({'eyeSquintLeft'}),frozenset({'Happy'}),0.5694635488308115,0.23613021549747823,0.14763869784502523,0.2592592592592593,1.0979503775620283,0.013171147341646983,1.0312242090784045,0.20721131903240542
frozenset({'eyeSquintRight'}),frozenset({'Happy'}),0.4167812929848693,0.23613021549747823,0.11141678129298486,0.26732673267326734,1.1321157358454292,0.013002124765150058,1.0425790301993878,0.20009317493594211
frozenset({'mouthLowerDownLeft'}),frozenset({'Happy'}),0.06464924346629987,0.23613021549747823,0.016964695093993582,0.2624113475177305,1.1112993183226605,0.0016990553025472577,1.0356311501428421,0.10707472178060408
frozenset({'mouthLowerDownRight'}),frozenset({'Happy'}),0.07381934892251261,0.23613021549747823,0.01925722145804677,0.2608695652173913,1.104769945124525,0.0018262426890903287,1.0334708849151766,0.1023927392739274
frozenset({'mouthSmileLeft'}),frozenset({'Happy'}),0.13204951856946354,0.23613021549747823,0.10224667583677212,0.7743055555555556,3.2791464401294497,0.07106579456062645,3.3845307374880966,0.8007859970294146
frozenset({'mouthSmileRight'}),frozenset({'Happy'}),0.12563044475011462,0.23613021549747823,0.09949564419990829,0.791970802919708,3.3539579051803554,0.0698305002080197,3.6719354553279113,0.8026866818584938
frozenset({'mouthStretchRight'}),frozenset({'Happy'}),0.023383768913342505,0.23613021549747823,0.01054562127464466,0.45098039215686275,1.9098800685322672,0.005024006881993861,1.3913342503438788,0.48781383955909363
frozenset({'mouthUpperUpLeft'}),frozenset({'Happy'}),0.019715726730857405,0.23613021549747823,0.013296652911508482,0.6744186046511628,2.856130051930458,0.008641174109861732,2.346171480972031,0.662946356569143
frozenset({'mouthUpperUpRight'}),frozenset({'Happy'}),0.023383768913342505,0.23613021549747823,0.014213663457129757,0.6078431372549019,2.574186179326099,0.008692049064478959,1.9478679504814302,0.6261699227623807
frozenset({'browDownLeft'}),frozenset({'Neutral'}),0.049060064190738197,0.23016964695093994,0.014213663457129757,0.2897196261682243,1.258722120862345,0.002921525802957096,1.0838401023190711,0.21614769651911528
frozenset({'browDownRight'}),frozenset({'Neutral'}),0.04585052728106373,0.23016964695093994,0.016047684548372305,0.35,1.520617529880478,0.005494284871575427,1.184354389306246,0.35882474085261207
frozenset({'eyeBlinkLeft'}),frozenset({'Neutral'}),0.049060064190738197,0.23016964695093994,0.012838147638697846,0.2616822429906542,1.136910302714376,0.0015460099845251846,1.0426816174208788,0.12663590026174404
frozenset({'eyeBlinkRight'}),frozenset({'Neutral'}),0.06006419073819349,0.23016964695093994,0.015130674002751032,0.2519083969465649,1.094446640917247,0.0013057204261471209,1.0290589413206823,0.09181079083518115
frozenset({'eyeLookDownLeft'}),frozenset({'Neutral'}),0.10866574965612105,0.23016964695093994,0.0270518110958276,0.24894514767932488,1.0815724443996166,0.0020402538618189935,1.0249988408574562,0.08461498221385207
frozenset({'eyeLookDownRight'}),frozenset({'Neutral'}),0.12150389729481889,0.23016964695093994,0.029802842732691424,0.2452830188679245,1.0656618807787717,0.0018363335891796936,1.0200252177900044,0.07013810823831691
frozenset({'eyeLookInLeft'}),frozenset({'Neutral'}),0.10499770747363595,0.23016964695093994,0.03530490600641907,0.3362445414847161,1.4608552688808083,0.011137620746554215,1.1598102029489128,0.35247897594209054
frozenset({'eyeLookInRight'}),frozenset({'Neutral'}),0.22420907840440166,0.23016964695093994,0.061898211829436035,0.2760736196319018,1.1994353872852148,0.010292087409899293,1.0634097249745489,0.21432886787496705
frozenset({'eyeLookOutLeft'}),frozenset({'Neutral'}),0.23016964695093994,0.23016964695093994,0.06648326455754242,0.28884462151394424,1.2549205568165585,0.013505198180022077,1.0825065468645045,0.2638721735022899
frozenset({'eyeLookOutRight'}),frozenset({'Neutral'}),0.11508482347546997,0.23016964695093994,0.03943145346171481,0.3426294820717131,1.4885954191203312,0.012942420272954641,1.1710752643352367,0.3709121580913362
frozenset({'eyeLookUpLeft'}),frozenset({'Neutral'}),0.14442916093535077,0.23016964695093994,0.041723979825768,0.28888888888888886,1.2551128818061088,0.008480770843857822,1.0825739339752405,0.23757111056146413
frozenset({'eyeLookUpRight'}),frozenset({'Neutral'}),0.13204951856946354,0.23016964695093994,0.03759743237047226,0.2847222222222222,1.2370102921646746,0.007203641301297248,1.0762676780491713,0.22074910131034753
frozenset({'eyeSquintLeft'}),frozenset({'Neutral'}),0.5694635488308115,0.23016964695093994,0.13846859238881248,0.24315619967793883,1.0564216563696904,0.0073953684029952615,1.0171588281775878,0.124050525781267
frozenset({'eyeSquintRight'}),frozenset({'Neutral'}),0.4167812929848693,0.23016964695093994,0.1155433287482806,0.27722772277227725,1.2044495286182004,0.019612925686196964,1.0651077487391105,0.29104896675651376
frozenset({'mouthPucker'}),frozenset({'Neutral'}),0.16552040348464006,0.23016964695093994,0.03943145346171481,0.23822714681440446,1.0350067872554105,0.0013336806284780789,1.010577299820766,0.04053156146179411
